title,price
"APPLE iPhone 14 (Midnight, 128 GB)","₹67,999"
"APPLE iPhone 14 (Purple, 128 GB)","₹67,999"
"APPLE iPhone 14 (Starlight, 128 GB)","₹67,999"
"APPLE iPhone 14 (Blue, 128 GB)","₹67,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹59,999"
"APPLE iPhone 13 (Green, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹59,999"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹76,999"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹76,999"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹76,999"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹76,999"
"APPLE iPhone 11 (White, 64 GB)","₹41,999"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone 11 (White, 128 GB)","₹44,999"
"APPLE iPhone 14 (Midnight, 256 GB)","₹77,999"
"APPLE iPhone 14 (Starlight, 256 GB)","₹77,999"
"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹66,999"
"APPLE iPhone 11 (Black, 128 GB)","₹44,999"
"APPLE iPhone 14 (Purple, 256 GB)","₹77,999"
"APPLE iPhone 14 (Blue, 256 GB)","₹77,999"
"APPLE iPhone SE 3rd Gen (Midnight, 256 GB)","₹46,599"
"APPLE iPhone SE 3rd Gen (Starlight, 64 GB)","₹49,900"
